"#","Date Requested","Category","Request / Question","VDR Reference","Priority","Status","Last Update","Seller's Response","Buyer's Follow-Up Comments"
"11","2026-06-12","Regulatory - NY Moratorium","Given S10642 passed both houses on 6/4-6/5/26, what's your read on signing vs. veto timing, and would you accept a regulatory closing condition / outside-date relief / price adjustment tied to the outcome?","1.1","Highest","Partial","2026-06-12","Seller's advisors expect Senate passage but anticipate a Hochul veto; she has until 12/31/26 and is viewed as unlikely to act before the November midterms; seller is open to entertaining a regulatory closing condition.","We'll want this reflected in the PSA - confirm the seller will paper a regulatory CP."
"12","2026-06-12","Regulatory - NY Moratorium","Please share your counsel's grandfathering analysis: does the completed warehouse construction satisfy 'commencing construction,' and which existing campus permits can be modified (rather than newly issued) under the DEC moratorium's exceptions?","3.3 (+ permit set - please add)","High","Open","2026-06-12","Site already holds local/county/utility approvals (SCWA Aug'22, Pine Barrens Nov'22, SCDHS Nov'22, Planning Board Dec'22, NYSDOT Dec'22, tree-clearing/site-work/building permits, temp CO Apr'24, final CO Jun'24); substation/fitout still need Town permits; a Minor Site Plan is under review.","Need the written grandfathering opinion and the modify-vs-new permit list."
"13","2026-06-12","Regulatory - NY Moratorium","How do you see the permanent S10642 obligations applying here - host-community-benefit funding via the LIPA program, prevailing wage/PLA and domestic steel for the retrofit, and the renewable-supply standard (>=1/3 by 2030 rising to 90% by 2040)? What's the compliance plan?","1.1","High","Open","2026-06-12","Town to hold a public hearing July 16 on an 18-month data center moratorium; seller reports supportive local officials and a planned PR/legal/technical response; fuel-cell and geothermal generation concepts and a capture-and-use system for cooling water are being evaluated.","Need a quantified view of the host-community/renewable/labor obligations and the generation architecture assumed."
"14","2026-06-12","Zoning & Permitting","Confirm the remaining Town conversion path: what site-plan amendment scope (substation, generator yard, cooling plant), building permits, and SEQRA determination does the data-center use still require, and where does the Minor Site Plan application stand?","3.3","High","Partial","2026-06-12","Land-use counsel memo confirms data center qualifies as R&D, a permitted use in the L-1 district; a Minor Site Plan application is under review; Town hearing July 16.","Need the remaining-approvals matrix with a timeline and any SEQRA trigger."
"15","2026-06-12","Environmental & Aquifer","Please identify the exact aquifer designation (Central Pine Barrens CGA / Special Groundwater Protection Area / Suffolk Art. 6) and provide the recorded Central Pine Barrens conservation easement and amendment, so we can overlay the protected/non-buildable area and any diesel/chemical-storage and stormwater-recharge limits onto the substation and generator yards.","3.1 (+ designation memo - please add)","High","Partial","2026-06-12","Seller notes a sewage-density limit (added floor area requires density credits) and is 'not aware' of diesel-storage or stormwater limits.","Need the recorded easement instrument and the formal designation; the 'not aware' answer needs to be backed by the actual restrictions."
"16","2026-06-12","Environmental & Aquifer","Can you refresh the environmental record for the as-built campus - an updated Phase I ESA (the 2022 report predates construction) and the wetlands delineation and T&E species report that are referenced but not in the room?","5.1 (+ wetlands/species - please add)","High","Partial","2026-06-12","Seller points to VDR folders 3/4/5; reports no RECs, open violations, or unresolved conditions; site was wooded forest before the warehouse development.","2022 Phase I is stale and pre-construction; wetlands delineation and species clearance aren't actually in the VDR."
"17","2026-06-12","Design & Conversion","Beyond the substation, what's the remaining conversion capex to a powered shell, and has the geotech (designed for warehouse loads) been validated for data-center equipment - transformer/UPS/generator pads and liquid-cooling slab loads against the 7-inch / 800 PSF slab and 2 tsf bearing?","2.1, 5.2, 4.3","High","Partial","2026-06-12","Basis of Design (Syska-Gensler) in 2.1: 7-inch steel-fiber slab (800 PSF, FF45/FL35), 36' clear, 300 W/SF air + 600 W/SF direct-to-chip closed-loop, PUE 1.5, 117 IT MW total (A 44 / B 38 / C 35).","Need a remaining-capex estimate and a geotech check for DC equipment loads vs. the warehouse-designed report."
"18","2026-06-12","Design & Conversion","Confirm the backup-generation architecture assumed in the Basis of Design (diesel vs. fuel cell vs. BESS) and the resulting NYSDEC air-permit applicability in this severe-ozone-nonattainment area - that choice drives both moratorium exposure and the air-permit path.","2.1","Medium","Partial","2026-06-12","Title V air permit would be required if the chosen emergency generators trigger it; low-emission designs can avoid it; seller has a fuel-cell concept that should avoid NYSDEC air permits; a NYSDEC stormwater permit applies if >1 acre is disturbed.","Need the emissions/applicability analysis and the architecture actually carried in the BoD."
"19","2026-06-12","Utilities - Water & Fiber","Please provide the SCWA will-serve letter and confirmed capacity on the 14-inch main, and - if a water-cooled configuration is ever contemplated - the cost/timeline for the sewer extension or on-site WWTP under the aquifer constraints.","1.1, 2.1","Medium","Partial","2026-06-12","Base design is closed-loop with no external water supply or discharge; SCWA provides general water; a water-cooled option would need three 8-inch taps off the 14-inch mains and possibly a private WWTP/other upgrades.","Need the SCWA will-serve letter and capacity confirmation."
"20","2026-06-12","Utilities - Water & Fiber","Can you share the carrier will-serve letters (AT&T, Cogent, Extenet, Lightpath, OCG, Verizon, Zayo), physically diverse route maps, and latency to the key NYC-metro interconnect points (60 Hudson, 111 8th Ave, NJ campuses)?","2.1 (Feasibility, Appx E)","Medium","Partial","2026-06-12","Seven carriers within ~0.5 mi; carrier will-serve represented as provided; fiber appendix referenced in the Feasibility Study.","Need the actual will-serve letters and route-diversity maps, not just the representation."
"21","2026-06-12","Transaction & Process","Confirm there's no relationship, shared infrastructure, or queue competition with the separate ~228-acre 'Brookhaven Logistics Center' rezoning south of the LIE, and whether any expansion option or ROFO is available to a buyer.","n/a","Low","Closed","2026-06-12","Seller states there is no relationship - it's a separate project and ownership entity on the south side of the Long Island Expressway; this site is on the north side.","Confirmed separate; closed unless an expansion option becomes relevant."
